,S_min,b_prime,runtime,BeB_n_nodes
20009_hard,50,2,3.3674028020031983,39
20181_hard,42,2,2.2934532789950026,37
25001_hard,84,2,19.308684339004685,74
25004_hard,84,2,24.254359988000942,74
25006_hard,76,2,16.439337887000875,64
30001_hard,135,2,100.36175993300276,126
30003_hard,235,2,1625.908822125988,221
30005_hard,160,2,263.786961048987,139
33001_hard,171,2,905.4472768889973,157
35002_hard,167,2,827.2041998549976,151
35003_hard,197,2,2807.7631103299937,188
35009_hard,-1,2,3600,246
