,S_min,b_prime,runtime,BeB_n_nodes
att48,10,6,20.3770078959933,2034
gr48,11,5,732.4238568300061,44098
hk48,8,7,269.2712028590031,46644
eil51,2,4,0.15897018800023943,7
berlin52,2,6,0.15713702999346424,18
brazil58,-1,15,3600,1950
st70,-1,13,3600,14939
eil76,2,3,0.28184725700702984,7
pr76,-1,8,3600,64171
gr96,-1,13,3600,11937
rat99,7,7,655.8795432150073,18704
kroA100,-1,17,3600,259
kroB100,-1,14,3600,779
kroC100,-1,12,3600,6370
kroD100,-1,12,3600,2465
kroE100,-1,12,3600,5097
rd100,-1,17,3600,2354
